State Name,District Name,Subdistrict Name,Facility Type,Facility Name,Facility Address,Latitude,Longitude,ActiveFlag_C,Location Type,Type Of Facility
West Bengal,Nadia,Karimpur I,sub_cen,Karimpur RH SC,NA,23.980017,88.626067,Y,Rural,Public
West Bengal,Birbhum,Mayureswar II,sub_cen,MAYURESWAR SC,NA,23.980333,87.762117,Y,Rural,Public
West Bengal,Birbhum,Mohamed Bazar,sub_cen,Natundihi SC,NA,23.981133,87.616967,Y,Rural,Public
West Bengal,Birbhum,Mohamed Bazar,sub_cen,Bhutura SC,NA,23.982333,87.5899,Y,Rural,Public
West Bengal,Murshidabad,Burwan,sub_cen,Kharjuna PHC SC,NA,23.982517,87.9285,Y,Rural,Public
West Bengal,Murshidabad,Kandi,sub_cen,Banti SC,NA,23.9827,88.042817,Y,Rural,Public
West Bengal,Murshidabad,Khargram,sub_cen,Balia SC,NA,23.98325,88.0336,Y,Rural,Public
West Bengal,Nadia,Karimpur I,sub_cen,Karimpur II GPHQ,NA,23.983433,88.6411,Y,Rural,Public
West Bengal,Nadia,Karimpur I,sub_cen,Natna SC,NA,23.9854,88.649367,Y,Rural,Public
West Bengal,Birbhum,Mohamed Bazar,sub_cen,Patelnagar SC,NA,23.9855,87.573017,Y,Rural,Public
West Bengal,Murshidabad,Hariharpara,sub_cen,Bhabanipur SC,NA,23.98585,88.42325,Y,Rural,Public
West Bengal,Nadia,Karimpur I,sub_cen,Anandapally SC,NA,23.985917,88.6376,Y,Rural,Public
West Bengal,Murshidabad,Berhampore,sub_cen,Kanthalia SC,NA,23.986,88.1817,Y,Rural,Public
West Bengal,Murshidabad,Kandi,sub_cen,Srikrishnapur SC,NA,23.986067,88.106567,Y,Rural,Public
West Bengal,Nadia,Karimpur I,sub_cen,Shikarpur East,NA,23.986617,88.723467,Y,Rural,Public
West Bengal,Birbhum,Sainthia,sub_cen,Gorola GP HQ SC,NA,23.98695,87.675417,Y,Rural,Public
West Bengal,Nadia,Karimpur I,sub_cen,Shikarpur PHC SC,NA,23.987,88.739333,Y,Rural,Public
West Bengal,Murshidabad,Beldanga I,sub_cen,Debkundu,NA,23.98705,88.24525,Y,Rural,Public
West Bengal,Murshidabad,Burwan,sub_cen,Kunia SC,NA,23.98755,87.9642,Y,Rural,Public
West Bengal,Birbhum,Mohamed Bazar,sub_cen,Deucha SC,NA,23.9878,87.503467,Y,Rural,Public
West Bengal,Nadia,Karimpur II,sub_cen,Pipulkhola SC,NA,23.988317,88.568833,Y,Rural,Public
West Bengal,Birbhum,Mohamed Bazar,sub_cen,Bodemati SC,NA,23.991017,87.534833,Y,Rural,Public
West Bengal,Murshidabad,Burwan,sub_cen,Andi Bahara SC,NA,23.99135,87.9054,Y,Rural,Public
West Bengal,Nadia,Karimpur I,sub_cen,Pattabuka SC,NA,23.992133,88.640983,Y,Rural,Public
West Bengal,Birbhum,Rajnagar,sub_cen,Aligarh GP HQ SC,NA,23.992583,87.30895,Y,Rural,Public
West Bengal,Nadia,Karimpur I,sub_cen,Jamsherpur PHC HQ SC,NA,23.993017,88.6544,Y,Rural,Public
West Bengal,Birbhum,Mohamed Bazar,sub_cen,Heruka SC,NA,23.993283,87.63845,Y,Rural,Public
West Bengal,Murshidabad,Beldanga I,sub_cen,Chitanyapur PHC SC,NA,23.993633,88.241317,Y,Rural,Public
West Bengal,Murshidabad,Burwan,sub_cen,Monikandra SC,NA,23.995117,87.961217,Y,Rural,Public
West Bengal,Murshidabad,Hariharpara,sub_cen,Vandarha SC,NA,23.995167,88.32285,Y,Rural,Public
West Bengal,Birbhum,Mayureswar I,sub_cen,Mahurapur GP HQ SC,NA,23.995467,87.726533,Y,Rural,Public
West Bengal,Murshidabad,Naoda,sub_cen,Gangadhari SC,NA,23.995533,88.485317,Y,Rural,Public
West Bengal,Nadia,Karimpur II,sub_cen,Dogachi SC,NA,23.996167,88.549767,Y,Rural,Public
West Bengal,Birbhum,Mayureswar I,sub_cen,Parulia SC,NA,23.99815,87.70505,Y,Rural,Public
West Bengal,Birbhum,Mayureswar II,sub_cen,KUNUTIA SC,NA,23.998917,87.845167,Y,Rural,Public
West Bengal,Murshidabad,Beldanga I,sub_cen,Gangapur SC,NA,24.00005,88.244317,Y,Rural,Public
West Bengal,Nadia,Karimpur II,sub_cen,Dhoradaha I GP HQ,NA,24.000267,88.586067,Y,Rural,Public
West Bengal,Murshidabad,Domkol,sub_cen,Kamurdiar SC,NA,24.0005074,88.6210861,Y,Rural,Public
West Bengal,Murshidabad,Kandi,sub_cen,Bajegopalnagar SC,NA,24.00117,88.007308,Y,Rural,Public
West Bengal,Murshidabad,Suti I,sub_cen,Jangipur Barrage SC,NA,24.002,88.033,Y,Rural,Public
West Bengal,Murshidabad,Domkol,sub_cen,Dubapara SC,NA,24.0021152,88.5171661,Y,Rural,Public
West Bengal,Murshidabad,Kandi,sub_cen,Benipur SC,NA,24.0027,88.116433,Y,Rural,Public
West Bengal,Murshidabad,Khargram,sub_cen,Eroali SC,NA,24.0028,88.058083,Y,Rural,Public
West Bengal,Murshidabad,Hariharpara,sub_cen,Kebalrampur SC,NA,24.004183,88.403433,Y,Rural,Public
West Bengal,Murshidabad,Hariharpara,sub_cen,Jagannathpur SC,NA,24.00435,88.339217,Y,Rural,Public
West Bengal,Murshidabad,Domkol,sub_cen,Madhya Goribpur SC,NA,24.0052948,88.498085,Y,Rural,Public
West Bengal,Birbhum,Mohamed Bazar,sub_cen,Puratangram SC,NA,24.00585,87.618283,Y,Rural,Public
West Bengal,Murshidabad,Beldanga I,sub_cen,Debpur SC,NA,24.005861,88.289805,Y,Rural,Public
West Bengal,Nadia,Karimpur II,sub_cen,Dhoradaha II GP HQ,NA,24.006167,88.5715,Y,Rural,Public
West Bengal,Birbhum,Mayureswar I,sub_cen,Shibogram GP HQ SC,NA,24.0063,87.814583,Y,Rural,Public
